source	t0	t1	t2	t3	t4	t5
COPEB	0.394002986	0.226809903	0.045295276	0.119973597	0.120653947	0.074961942
ELK1	0.007695292	0.010425799	0.018464947	0.017604363	0.015687172	0.015078941
GATA3	0.148531522	0.283048618	0.212885489	0.514656227	1.291687853	1.068951986
IRF4	0.121016932	6.260517604	2.744188166	2.051184141	2.697329734	1.668284405
JUN	1.069568198	0.136808528	0.012124366	0.116697663	0.206994012	0.134526935
MAF	0.199523447	0.435860965	0.232722719	0.623485078	1.036419272	0.486329416
MYB	1.112406622	1.372288109	0.43679773	1.298784063	4.272835376	4.492221063
NFATC3	0.212662435	0.171662122	0.114751378	0.12492435	0.145626951	0.186494622
NFKB1	1.410886882	5.31831636	1.726677434	1.194205842	0.909570104	0.711812717
RELA	0.328887455	0.609317032	0.261058061	0.237225072	0.257672111	0.265895789
STAT3	0.132268742	0.474507826	0.146048881	0.223756414	0.229230677	0.207017253
USF2	0.957260724	0.248894266	0.565111738	0.556718247	0.501780274	0.529061557
