source	t0	t1	t2	t3	t4	t5
26973	0.0511368436	0.3628547879	0.4308692001	0.1279296504	0.070380974	0.1058188109
26984	0.1701033648	0.3659172261	0.2364725776	0.2548718824	0.2609545715	0.2193001392
26985	0.0439129674	0.1159094758	0.1880548126	0.0884841319	0.0874415682	0.1161993094
26986	26.0115053209	29.6719135712	27.4416124138	22.7445278692	23.1361942793	28.1597620571
26993	1.2965135121	0.2911126081	0.3371929315	0.5384569474	0.4687266177	0.3504436109
26994	0.7452196661	0.8552264468	0.4713196037	0.4213677891	0.7927186986	1.0074168539
26995	0.1451242715	0.4868387182	0.6928513189	0.3053999776	0.2113696585	0.3117210157
26996	0.2356958227	0.0252848018	0.043502457	0.1690888129	0.3325828136	0.1619770726
26999	1.3199507007	0.265556336	0.3273808076	0.3453931637	0.3588921972	0.3709497188
27000	1.2086598834	3.5547818105	2.9315699754	1.8867715008	1.5256618472	1.3788019093
27004	0.0019028258	0.0012778127	0.0010935432	0.0010303456	0.0011012864	0.0010901127
27005	0.0530396567	0.031345757	0.0502958054	0.0393475509	0.0336679787	0.0415175464
27010	0.0241713103	0.0086500901	0.017076054	0.0223278732	0.0213511479	0.0182507073
27013	0.2508764773	0.1173522886	0.3049962698	0.2032694482	0.1718074317	0.1567254888
27018	2.179924944	0.3075611459	0.6396868499	1.5854192227	2.1930757951	1.7944819409
27020	0.118074097	0.2133396108	0.1912487399	0.1261197511	0.1431484252	0.1759276445
27022	0.001413278	0.0012900078	0.0011955237	0.0014625164	0.0012033883	0.0012897037
27023	0.0536802269	0.041006252	0.0588764109	0.0385228016	0.0644393025	0.0780958522
27030	0.034803576	0.0328901165	0.0412445208	0.0570800976	0.0905441378	0.0762754204
27031	0.178499053	0.0322760633	0.0246801015	0.0360566605	0.0447963709	0.0331054486
27032	0.0673377463	0.1014714271	0.1277743528	0.1291001838	0.169574312	0.1820630355
27033	0.0060207283	0.0114084075	0.0936926547	0.9999249107	0.8282695938	0.5167363805
27034	0.033543408	0.0258727181	0.0488351564	0.0217948405	0.0231578378	0.0271582748
27037	0.2408977916	0.2866677151	0.4228771001	0.1742872622	0.1609324214	0.2245864182
27039	0.0015274706	0.0012156813	0.001239068	0.0011976764	0.0012398353	0.0012966432
27040	7.269600898	2.837064966	9.491361076	6.3689007507	8.3892475247	9.0691442929
27042	0.033778662	0.081491181	0.0414671278	0.0168439587	0.0245204291	0.0287011246
27043	1.6697643103	3.9043116918	2.9784002585	2.0950366925	1.8933828241	1.772568194
27044	1.3138030162	2.0044085411	3.535524548	3.5474449738	3.3937831023	3.157782291
27067	0.0128634894	0.0104191371	0.0129417099	0.0226672458	0.0382795073	0.0382173903
27068	1.0706453628	0.9337762078	1.9876774128	2.0674023635	2.013826196	1.9240130339
27069	0.0810037848	0.0940403324	0.1162320903	0.0607788046	0.0565452828	0.0543406297
27071	0.0891685852	0.1895404962	0.2489356606	0.3230230387	0.2386907444	0.197867304
27072	0.0875758661	0.0475283924	0.0657677459	0.0515641993	0.0887285519	0.0958962209
27074	0.0552305234	1.3743422657	0.1395630671	1.1454019656	0.4688659531	0.2083056797
27076	0.0192757717	0.0087396938	0.0104754799	0.0091139524	0.0083738845	0.0061552294
27079	0.8554961543	1.0182781155	1.2669657745	0.8966404822	0.6959349762	0.9300363856
27085	0.0014605503	0.0056508783	0.0468012252	0.0501329846	0.0494044693	0.0560566048
27086	3.1893862255	2.4032993864	0.884272628	0.6991475737	0.6316471519	0.4745986973
27089	5.4103550044	9.7339240889	20.4551447648	14.3053807079	9.6275394905	14.2458519678
27090	0.114053421	0.0479526282	0.1081248633	0.0957159256	0.08274184	0.0787042461
27095	0.3709063115	0.6136532957	0.744550918	0.5659763314	0.3615569493	0.3586100579
27099	0.0326913958	0.0693356314	0.0144766301	0.0129497029	0.0120203534	0.0062513518
27101	0.1862951785	0.2581048344	0.6801949631	0.4924156957	0.4107248912	0.4393015
27102	0.4073947695	0.307899714	0.4545913441	0.4543183343	0.5616582032	0.5785293135
27106	1.4252912851	0.3116798514	0.1162331842	0.1443954846	0.2015910944	0.1652015301
27107	0.2437867976	0.3965806433	0.2362795605	0.1642384312	0.1602514605	0.1721855662
27109	0.1608999315	0.1505708136	0.1237421419	0.1171324235	0.103969067	0.082107509
27111	0.0131783031	0.0128674345	0.0174869407	0.0344604512	0.0183152839	0.0111275324
27113	0.4743244042	0.3873086003	0.1000199606	0.6747797878	1.0321571574	0.340276768
27125	0.127449812	0.1505124789	0.0600603171	0.0487284059	0.0585894395	0.037423181
27128	0.2371614497	0.0189203131	0.0182304368	0.0518868212	0.0853460255	0.0605863047
27130	0.0519451528	0.0264873163	0.0434894887	0.0309719389	0.0290953071	0.0282540898
27131	0.9974502749	1.9029069242	2.8669976472	3.8961451206	3.1905017334	2.7666879071
27132	0.1210004438	0.2186850797	0.5025468185	0.4396919088	0.7028505478	0.5481314375
27134	0.0234140036	0.0201584226	0.0173022194	0.0102756271	0.0129874947	0.0124422351
27141	0.104931133	0.0161736383	0.082374851	0.0697644486	0.0841254733	0.0897121546
27148	0.0072770827	0.0045093133	0.0180657765	0.0103288758	0.0079699737	0.0116340659
27153	0.081216146	0.2866748005	0.2345429517	0.1737339137	0.1606777347	0.1969699735
27158	0.0436322865	0.0255754254	0.0543594917	0.0383697871	0.0279279587	0.0422461328
27161	0.5366566401	1.9237832925	1.3134206838	0.6947698239	0.4181602716	0.3664649168
27163	0.2151806173	0.0798218504	0.146221522	0.0711670166	0.0775944384	0.0929028906
27165	0.0525060194	0.0158557556	0.0610898757	0.0351079144	0.0464859348	0.0351165993
27166	2.4049324021	4.1158377261	5.8860188066	5.1045872321	4.0237442003	5.4880948933
27173	0.0680224409	0.2098222992	0.3559631866	0.3999834144	0.392899013	0.3405501962
27175	0.0375962838	0.0505760883	0.3042640413	0.1236030304	0.114492363	0.1620446315
27183	1.0467619629	1.2190081052	1.1779220392	0.8541561173	0.7661874953	0.7925724208
27185	0.0226182762	0.002286916	0.0020017524	0.0039837873	0.0053808364	0.0036530468
27202	0.0013343188	0.001311599	0.0011513239	0.0011521622	0.0011745411	0.0011664137
27229	0.0138598788	0.0575083561	0.1411529795	0.1393214329	0.126171054	0.1285805134
27230	0.0318232016	0.0519507764	0.0307139967	0.0266130933	0.0298716977	0.0248999027
27235	0.0192550407	0.0420756006	0.1202683239	0.1120684954	0.0703881122	0.1027346875
27236	0.0211882644	0.0180726652	0.026090078	0.0270919653	0.0396215126	0.0412564953
27238	0.5174789569	0.4122650836	0.5021700522	0.5090662341	0.3740976159	0.4255098657
27240	0.4084733728	0.0100799403	0.2956306573	0.9797175957	1.7007470478	1.2176154017
27241	0.0412537386	0.0053661253	0.0077291198	0.0097318156	0.0115269967	0.0090430105
27242	0.0103457868	0.1306075734	0.0693159371	0.0102564012	0.0133872536	0.0116066497
27243	2.2419871457	4.1920489043	3.3445614253	3.0308430235	2.992085083	2.6314433721
27244	0.1039056975	0.0180833755	0.0362176996	0.0350415605	0.0518419659	0.0315307214
27245	0.1835439423	0.0883581359	0.0578516663	0.0739344913	0.0690037864	0.0649211153
27246	0.2529297769	0.2398232429	0.2974690249	0.4119956659	0.2217028112	0.1788058113
27247	0.4160016582	0.1419946322	0.5804228875	0.8085602478	0.6263213853	0.7298985902
27248	0.1708693164	0.1919949124	0.2076340163	0.2821228355	0.3112357491	0.3213926662
27249	1.7795006992	1.9761338863	3.0348123733	2.7648672882	2.4454840263	2.4693665712
