lambda	vmax	COPEB	ELK1	GATA3	IRF4	JUN	MAF	MYB	NFATC3	NFKB1	RELA	STAT3	USF2
6.94726719893107	14.2135334734108	-9.7861522487455	0	0	0	-18.5836353257785	0	0	-6.91766957593961	0	0	0	0
14.5355001479007	8.54980012691412	0	0	0	0	0	0	-6.62140921931076	9.28357244577314	0	0	0	0
8.90529090753354	7.28984261230373	0	0	0	0	0	0	0	-15.6015258869504	0	0	0	0
17.17829081252	5.29733273002676	0	0	0	0	0	0	0	0	1.95822547246642	0	0	-6.61685876796386
2.05199124497071	7.02813873380112	0	9.52521219502822	0	0	0	0	0	0	0	0	0	-14.3583267912952
5.50733417708333	10.6629843128062	-14.7614064464316	0	0	0	0	0	0	0	0	4.2805662156192	0	0
0.116878489391395	12.1913175923474	0	0	9.27816470337799	12.8066380677099	0	0	-16.8417755447952	0	0	0	-16.5110587161729	0
11.9001560510101	2.11636798230915	0	0	18.2470474284538	0	-17.5903659019171	0	0	0	0	0	0	0
3.18829775592582	15.6754179586742	0	-19.5610926775895	0	0	5.13620540817072	0	15.6536255776916	-4.35948823389417	0	0	0	0
3.36906260393669	12.1149296745367	0	0	0	0	-4.28140941667196	0	0	0	0	-8.56996388164114	12.9495511935608	-6.99380319341651
17.4284782386751	16.2281830718124	0	0	0	14.454513581577	0	0	-10.3089614574528	0	0	0	0	0
14.9099454421629	13.9755994388791	0	0	0	0	0	0	0	0	0	0	0	0
