source	t0	t1	t2	t3	t4	t5
COPEB	0.446061288	0.338896814	0.051151292	0.170160667	0.126951958	0.084146207
ELK1	0.005173247	0.00429589	0.017897603	0.014869068	0.017545074	0.014665987
GATA3	0.152471673	0.208702105	0.256464811	0.67456934	1.102662976	1.297000645
IRF4	0.108312355	5.516051863	2.188368933	1.93681518	2.879426214	1.899032149
JUN	1.110852833	0.149059452	0.010576255	0.132309658	0.108950081	0.083764608
MAF	0.210288777	0.474591848	0.209377239	0.976848722	0.981566952	0.697770413
MYB	1.075604261	1.44832182	0.646785246	1.353887453	3.999930651	3.998579614
NFATC3	0.23131521	0.160623323	0.112997644	0.14289073	0.144163198	0.170549594
NFKB1	1.406389247	3.980559327	1.701031611	1.358242461	0.899291265	0.856883928
RELA	0.338662169	0.656204527	0.281416012	0.245989841	0.267027961	0.249606562
STAT3	0.131916442	0.450703453	0.166509292	0.242104942	0.230734096	0.207304219
USF2	1.023665613	0.324245957	0.568673655	0.641158612	0.695942622	0.601732339
