source	t0	t1	t2	t3	t4	t5
COPEB	0.395546064	0.242678032	0.036067348	0.174901668	0.12493179	0.115863249
ELK1	0.005155954	0.005624376	0.017187163	0.019912873	0.01276624	0.014972374
GATA3	0.169418193	0.215101387	0.281012042	0.512467535	1.166352249	1.148634941
IRF4	0.037085476	5.800323386	2.71467794	2.01212442	2.41343916	1.433919515
JUN	1.570466117	0.142266581	0.009476592	0.128166293	0.158793019	0.160822468
MAF	0.237627219	0.430321003	0.218405485	0.718185656	1.178975114	0.857438994
MYB	0.310146815	1.643058124	0.592366996	1.007384405	3.681403898	4.281790986
NFATC3	0.188939791	0.179023298	0.112644321	0.140700147	0.155204415	0.20287898
NFKB1	0.932157946	4.402282261	1.612016183	1.220113611	0.937379489	0.775982067
RELA	0.326453765	0.612667389	0.265447312	0.263081449	0.282474591	0.272202952
STAT3	0.132512563	0.479982061	0.16715444	0.286102194	0.279899886	0.261969808
USF2	1.172841973	0.322232544	0.667239206	0.706806517	0.688029421	0.620879067
